"business_id","business_name","business_address","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","violation_id","violation_description","risk_category"
27377,"Sorabol","845 Market St FC-3",94103,37.784848,-122.406892,"(37.784848, -122.406892)",14155775959,"27377_20180514","5/14/18",87,"27377_20180514_103103","High risk food holding temperature","High Risk"
2134,"CHIEFTAIN IRISH PUB, THE","198 05th St",94103,37.781567,-122.405059,"(37.781567, -122.405059)",14155610916,"2134_20161109","11/9/16",87,"2134_20161109_103103","High risk food holding temperature","High Risk"
2755,"SOCIALE","3665 SACRAMENTO St",94118,37.787364,-122.45299,"(37.787364, -122.45299)",14155920309,"2755_20161205","12/5/16",85,"2755_20161205_103114","High risk vermin infestation","High Risk"
5841,"JEFFERSON ELEMENTARY SCHOOL","1725 IRVING St",94122,37.763543,-122.476332,"(37.763543, -122.476332)",14155752821,"5841_20160506","5/6/16",91,"5841_20160506_103114","High risk vermin infestation","High Risk"
5951,"ST. THOMAS MORE","50 THOMAS MORE Way",94132,37.712259,-122.47308,"(37.712259, -122.47308)",14155330100,"5951_20160413","4/13/16",91,"5951_20160413_103103","High risk food holding temperature","High Risk"
2134,"CHIEFTAIN IRISH PUB, THE","198 05th St",94103,37.781567,-122.405059,"(37.781567, -122.405059)",14155610916,"2134_20171211","12/11/17",87,"2134_20171211_103103","High risk food holding temperature","High Risk"
3267,"The Olive Garden Italian","3251 20th Ave",94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,"3267_20180510","5/10/18",83,"3267_20180510_103108","Contaminated or adulterated food","High Risk"
4787,"TONY BALONEY'S","1098 HOWARD St",94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,"4787_20160628","6/28/16",83,"4787_20160628_103109","Unclean or unsanitary food contact surfaces","High Risk"
2357,"CHINA EXPRESS","2798 MISSION St",94110,37.752408,-122.418535,"(37.752408, -122.418535)",14155640881,"2357_20151230","12/30/15",70,"2357_20151230_103103","High risk food holding temperature","High Risk"
62277,"Tacos San Buena","16th & Shotwell St",94102,37.779847,-122.418985,"(37.779847, -122.418985)",14155556127,"62277_20180221","2/21/18",87,"62277_20180221_103103","High risk food holding temperature","High Risk"
62064,"California Grocery","123 Eddy St",94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,"62064_20160411","4/11/16",75,"62064_20160411_103114","High risk vermin infestation","High Risk"
69282,"New Jumbo Seafood Restaurant","1532 NORIEGA St",94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,"69282_20160413","4/13/16",76,"69282_20160413_103103","High risk food holding temperature","High Risk"
999,"SERRANO'S PIZZA II","3274 21st St",94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,"999_20160503","5/3/16",81,"999_20160503_103109","Unclean or unsanitary food contact surfaces","High Risk"
3649,"SAFEWAY #1490","2300 16th St",94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155571120,"3649_20171206","12/6/17",82,"3649_20171206_103102","Unclean hands or improper use of gloves","High Risk"
69282,"New Jumbo Seafood Restaurant","1532 NORIEGA St",94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,"69282_20160413","4/13/16",76,"69282_20160413_103105","Improper cooling methods","High Risk"
2497,"PLUTO'S","3258 SCOTT St",94123,37.799796,-122.441041,"(37.799796, -122.441041)",14155778867,"2497_20160607","6/7/16",85,"2497_20160607_103108","Contaminated or adulterated food","High Risk"
1764,"FLORIO","1915 FILLMORE St",94115,37.787553,-122.433574,"(37.787553, -122.433574)",14155774300,"1764_20160531","5/31/16",93,"1764_20160531_103103","High risk food holding temperature","High Risk"
1249,"KABABAYAN FAST FOOD","2706 MISSION St",94110,37.753691,-122.418657,"(37.753691, -122.418657)",14155929635,"1249_20180515","5/15/18",74,"1249_20180515_103109","Unclean or unsanitary food contact surfaces","High Risk"
3839,"EL TORO TAQUERIA","598 VALENCIA St",94110,37.763458,-122.421784,"(37.763458, -122.421784)",14155433351,"3839_20160815","8/15/16",87,"3839_20160815_103103","High risk food holding temperature","High Risk"
71356,"Padrecito","901 Cole St",94117,37.765644,-122.449974,"(37.765644, -122.449974)",14155502083,"71356_20170606","6/6/17",87,"71356_20170606_103102","Unclean hands or improper use of gloves","High Risk"
3649,"SAFEWAY #1490","2300 16th St",94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155571120,"3649_20171206","12/6/17",82,"3649_20171206_103103","High risk food holding temperature","High Risk"
4481,"Bi Rite Market","3639 18th St",94110,37.761483,-122.424688,"(37.761483, -122.424688)",14155249760,"4481_20180913","9/13/18",89,"4481_20180913_103105","Improper cooling methods","High Risk"
10030,"Marshall Elementary School","1575 15th St",94103,37.766864,-122.419014,"(37.766864, -122.419014)",14155246280,"10030_20170928","9/28/17",93,"10030_20170928_103103","High risk food holding temperature","High Risk"
68716,"The Sweet House","3512 BALBOA St",94121,37.775818,-122.496401,"(37.775818, -122.496401)",14155871388,"68716_20180226","2/26/18",80,"68716_20180226_103102","Unclean hands or improper use of gloves","High Risk"
62308,"Sam's Diner","1220 Market Street",94102,37.778497,-122.415146,"(37.778497, -122.415146)",14155628590,"62308_20160203","2/3/16",72,"62308_20160203_103102","Unclean hands or improper use of gloves","High Risk"
300,"SUBWAY","2001 VAN NESS Ave",94109,37.794134,-122.423234,"(37.794134, -122.423234)",14155779929,"300_20160413","4/13/16",68,"300_20160413_103108","Contaminated or adulterated food","High Risk"
187,"TAZA WRAPS & JUICE","750 FONT, BLDG B Blvd",94132,37.723054,-122.483612,"(37.723054, -122.483612)",14155374525,"187_20160511","5/11/16",89,"187_20160511_103107","Improper reheating of food","High Risk"
4643,"CHEUNG HING CHINESE DELI & MEAT INC","323 Clement St",94118,37.782993,-122.462709,"(37.782993, -122.462709)",14155754259,"4643_20160512","5/12/16",67,"4643_20160512_103109","Unclean or unsanitary food contact surfaces","High Risk"
2447,"NEW CASTILLITO INC.","2092 MISSION St",94110,37.76356,-122.419582,"(37.76356, -122.419582)",14155626971,"2447_20180911","9/11/18",89,"2447_20180911_103105","Improper cooling methods","High Risk"
18826,"Fresca Restaurant","2114 FILLMORE St",94115,37.789074,-122.433783,"(37.789074, -122.433783)",14155442668,"18826_20160926","9/26/16",83,"18826_20160926_103103","High risk food holding temperature","High Risk"
2542,"PETER D'S RESTAURANT","2201 Van Ness St",94109,37.795993,-122.423585,"(37.795993, -122.423585)",14155778505,"2542_20171208","12/8/17",65,"2542_20171208_103103","High risk food holding temperature","High Risk"
38530,"Portico IV","550 Market St",94104,37.789804,-122.40077,"(37.789804, -122.40077)",14155399994,"38530_20160512","5/12/16",85,"38530_20160512_103105","Improper cooling methods","High Risk"
3838,"CAFE PICARO","3120 16th St",94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,"3838_20180222","2/22/18",72,"3838_20180222_103109","Unclean or unsanitary food contact surfaces","High Risk"
557,"KATIA'S","600 05th Ave",94118,37.77721,-122.462874,"(37.77721, -122.462874)",14155669292,"557_20160629","6/29/16",85,"557_20160629_103105","Improper cooling methods","High Risk"
2384,"TWO JACKS SEAFOOD","401 HAIGHT St",94117,37.772274,-122.428997,"(37.772274, -122.428997)",14155436290,"2384_20160323","3/23/16",91,"2384_20160323_103103","High risk food holding temperature","High Risk"
69181,"Cha-Ya Restaurant","762 Valencia St",94110,37.760777,-122.421505,"(37.760777, -122.421505)",14155257825,"69181_20180719","7/19/18",89,"69181_20180719_103105","Improper cooling methods","High Risk"
544,"THAI TIME RESTAURANT","315 08th Ave",94118,37.782534,-122.466615,"(37.782534, -122.466615)",14155387992,"544_20160608","6/8/16",78,"544_20160608_103105","Improper cooling methods","High Risk"
5955,"SF CHRISTIAN DAY SCHOOL","25 WHITTIER St",94112,37.709896,-122.448082,"(37.709896, -122.448082)",14155581117,"5955_20160908","9/8/16",93,"5955_20160908_103102","Unclean hands or improper use of gloves","High Risk"
300,"SUBWAY","2001 VAN NESS Ave",94109,37.794134,-122.423234,"(37.794134, -122.423234)",14155779929,"300_20160413","4/13/16",68,"300_20160413_103102","Unclean hands or improper use of gloves","High Risk"
2317,"BURGER JOINT","807 VALENCIA St",94110,37.759933,-122.421356,"(37.759933, -122.421356)",14155823494,"2317_20160816","8/16/16",93,"2317_20160816_103102","Unclean hands or improper use of gloves","High Risk"
544,"THAI TIME RESTAURANT","315 08th Ave",94118,37.782534,-122.466615,"(37.782534, -122.466615)",14155387992,"544_20160608","6/8/16",78,"544_20160608_103103","High risk food holding temperature","High Risk"
63047,"Roam Artisan Burgers","1785 UNION St",94123,37.797954,-122.428477,"(37.797954, -122.428477)",14155414247,"63047_20160906","9/6/16",91,"63047_20160906_103105","Improper cooling methods","High Risk"
4643,"CHEUNG HING CHINESE DELI & MEAT INC","323 Clement St",94118,37.782993,-122.462709,"(37.782993, -122.462709)",14155754259,"4643_20160512","5/12/16",67,"4643_20160512_103103","High risk food holding temperature","High Risk"
7636,"LEE'S FOOD MARKET","1397 Revere Ave",94124,37.729455,-122.386364,"(37.729455, -122.386364)",14155822818,"7636_20161019","10/19/16",81,"7636_20161019_103114","High risk vermin infestation","High Risk"
903,"Sabra Restaurant","419 Grant Ave",94108,37.790874,-122.405634,"(37.790874, -122.405634)",14155983656,"903_20171211","12/11/17",91,"903_20171211_103105","Improper cooling methods","High Risk"
4643,"CHEUNG HING CHINESE DELI & MEAT INC","323 Clement St",94118,37.782993,-122.462709,"(37.782993, -122.462709)",14155754259,"4643_20160512","5/12/16",67,"4643_20160512_103102","Unclean hands or improper use of gloves","High Risk"
59838,"OTD","2232 Bush St",94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,"59838_20180723","7/23/18",80,"59838_20180723_103109","Unclean or unsanitary food contact surfaces","High Risk"
32671,"La Taqueria Guadalajara","3146 24th St",94110,37.752512,-122.415109,"(37.752512, -122.415109)",14155644892,"32671_20180508","5/8/18",75,"32671_20180508_103105","Improper cooling methods","High Risk"
3317,"Pane e Vino Trattoria","1715 UNION St",94123,37.798063,-122.427637,"(37.798063, -122.427637)",14155442111,"3317_20160906","9/6/16",93,"3317_20160906_103105","Improper cooling methods","High Risk"
2357,"CHINA EXPRESS","2798 MISSION St",94110,37.752408,-122.418535,"(37.752408, -122.418535)",14155640881,"2357_20151230","12/30/15",70,"2357_20151230_103109","Unclean or unsanitary food contact surfaces","High Risk"
2542,"PETER D'S RESTAURANT","2201 Van Ness St",94109,37.795993,-122.423585,"(37.795993, -122.423585)",14155778505,"2542_20171208","12/8/17",65,"2542_20171208_103102","Unclean hands or improper use of gloves","High Risk"
2315,"TAQUERIA CAN-CUN","2288 MISSION St",94110,37.760487,-122.419285,"(37.760487, -122.419285)",14155259560,"2315_20160418","4/18/16",83,"2315_20160418_103105","Improper cooling methods","High Risk"
5818,"MISSION ED. CENTER ELEMENTARY","1670 NOE St",94131,37.742294,-122.43104,"(37.742294, -122.43104)",14155695313,"5818_20160317","3/17/16",93,"5818_20160317_103103","High risk food holding temperature","High Risk"
19041,"Nama Sushi","227 King St",94107,37.777398,-122.392391,"(37.777398, -122.392391)",14155492007,"19041_20161110","11/10/16",85,"19041_20161110_103114","High risk vermin infestation","High Risk"
63413,"Mymy","1500 California St",94109,37.790798,-122.419214,"(37.790798, -122.419214)",14155807466,"63413_20160701","7/1/16",87,"63413_20160701_103102","Unclean hands or improper use of gloves","High Risk"
1249,"KABABAYAN FAST FOOD","2706 MISSION St",94110,37.753691,-122.418657,"(37.753691, -122.418657)",14155929635,"1249_20180515","5/15/18",74,"1249_20180515_103103","High risk food holding temperature","High Risk"
2542,"PETER D'S RESTAURANT","2201 Van Ness St",94109,37.795993,-122.423585,"(37.795993, -122.423585)",14155778505,"2542_20171208","12/8/17",65,"2542_20171208_103114","High risk vermin infestation","High Risk"
5912,"ARGONNE ALTERNATIVE ELEMENTARY SCHO","680 18th Ave",94118,37.775155,-122.476785,"(37.775155, -122.476785)",14155758460,"5912_20180223","2/23/18",93,"5912_20180223_103112","No hot water or running water","High Risk"
7747,"SAFEWAY STORE #964","4950 Mission St",94112,37.71954,-122.438775,"(37.71954, -122.438775)",14155587200,"7747_20160609","6/9/16",81,"7747_20160609_103103","High risk food holding temperature","High Risk"
1700,"Raintree Cafe","118 West Portal Ave",94127,37.739413,-122.46744,"(37.739413, -122.46744)",14155249000,"1700_20180222","2/22/18",93,"1700_20180222_103103","High risk food holding temperature","High Risk"
68716,"The Sweet House","3512 BALBOA St",94121,37.775818,-122.496401,"(37.775818, -122.496401)",14155871388,"68716_20180226","2/26/18",80,"68716_20180226_103109","Unclean or unsanitary food contact surfaces","High Risk"
5607,"SFSU STATION CAFE","1600 Holloway Ave",94132,37.720851,-122.477084,"(37.720851, -122.477084)",14155374525,"5607_20171128","11/28/17",87,"5607_20171128_103103","High risk food holding temperature","High Risk"
5950,"LICK-WILMERDING HIGH SCHOOL","755 OCEAN Ave",94112,37.722933,-122.448971,"(37.722933, -122.448971)",14155334021,"5950_20180226","2/26/18",93,"5950_20180226_103109","Unclean or unsanitary food contact surfaces","High Risk"
403,"HAAGEN-DAZS #561","865 MARKET St",94103,37.784317,-122.407563,"(37.784317, -122.407563)",14155891550,"403_20160701","7/1/16",81,"403_20160701_103103","High risk food holding temperature","High Risk"
37651,"Jack In The Box #545","400 Geary St",94102,37.787168,-122.410124,"(37.787168, -122.410124)",14155670868,"37651_20161114","11/14/16",87,"37651_20161114_103103","High risk food holding temperature","High Risk"
2357,"CHINA EXPRESS","2798 MISSION St",94110,37.752408,-122.418535,"(37.752408, -122.418535)",14155640881,"2357_20180723","7/23/18",81,"2357_20180723_103114","High risk vermin infestation","High Risk"
1635,"KEZAR PUB","770 Stanyan St",94117,37.767828,-122.453227,"(37.767828, -122.453227)",14155389292,"1635_20171215","12/15/17",91,"1635_20171215_103114","High risk vermin infestation","High Risk"
3838,"CAFE PICARO","3120 16th St",94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,"3838_20180222","2/22/18",72,"3838_20180222_103114","High risk vermin infestation","High Risk"
63082,"The Brick Yard","1787 Union St",94123,37.797933,-122.428627,"(37.797933, -122.428627)",14156677676,"63082_20180222","2/22/18",87,"63082_20180222_103114","High risk vermin infestation","High Risk"
26149,"Mrs. Fields Cookies","865 Market St 9000",94103,37.784317,-122.407563,"(37.784317, -122.407563)",14155971993,"26149_20160701","7/1/16",80,"26149_20160701_103103","High risk food holding temperature","High Risk"
7636,"LEE'S FOOD MARKET","1397 Revere Ave",94124,37.729455,-122.386364,"(37.729455, -122.386364)",14155822818,"7636_20151027","10/27/15",81,"7636_20151027_103103","High risk food holding temperature","High Risk"
65824,"Sugarhill Kitchen","1449 LOMBARD St",94123,37.801173,-122.425467,"(37.801173, -122.425467)",14155292368,"65824_20180517","5/17/18",91,"65824_20180517_103103","High risk food holding temperature","High Risk"
62308,"Sam's Diner","1220 Market Street",94102,37.778497,-122.415146,"(37.778497, -122.415146)",14155628590,"62308_20160203","2/3/16",72,"62308_20160203_103108","Contaminated or adulterated food","High Risk"
305,"PACIFIC CATCH","2027 CHESTNUT St",94123,37.800763,-122.436536,"(37.800763, -122.436536)",14155441950,"305_20160518","5/18/16",87,"305_20160518_103103","High risk food holding temperature","High Risk"
1294,"ANCHOR OYSTER BAR INC.","579 Castro St",94114,37.759613,-122.434817,"(37.759613, -122.434817)",14155433990,"1294_20170106","1/6/17",93,"1294_20170106_103102","Unclean hands or improper use of gloves","High Risk"
5010,"LATTE EXPRESS","48 05th St",94103,37.783225,-122.407252,"(37.783225, -122.407252)",14155287328,"5010_20161004","10/4/16",86,"5010_20161004_103102","Unclean hands or improper use of gloves","High Risk"
4849,"FAMILY MARKET","198 BROAD St",94112,37.713219,-122.458851,"(37.713219, -122.458851)",14155582458,"4849_20160331","3/31/16",84,"4849_20160331_103110","Unapproved food source","High Risk"
5010,"LATTE EXPRESS","48 05th St",94103,37.783225,-122.407252,"(37.783225, -122.407252)",14155287328,"5010_20161004","10/4/16",86,"5010_20161004_103109","Unclean or unsanitary food contact surfaces","High Risk"
2980,"PUERTO ALEGRE","546 Valencia St",94110,37.764148,-122.421855,"(37.764148, -122.421855)",14155258201,"2980_20161024","10/24/16",89,"2980_20161024_103109","Unclean or unsanitary food contact surfaces","High Risk"
1249,"KABABAYAN FAST FOOD","2706 MISSION St",94110,37.753691,-122.418657,"(37.753691, -122.418657)",14155929635,"1249_20171002","10/2/17",78,"1249_20171002_103103","High risk food holding temperature","High Risk"
59838,"OTD","2232 Bush St",94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,"59838_20180723","7/23/18",80,"59838_20180723_103103","High risk food holding temperature","High Risk"
26149,"Mrs. Fields Cookies","865 Market St 9000",94103,37.784317,-122.407563,"(37.784317, -122.407563)",14155971993,"26149_20160701","7/1/16",80,"26149_20160701_103102","Unclean hands or improper use of gloves","High Risk"
