"business_id","business_name","business_address","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","violation_id","violation_description","risk_category"
4864,"DRAGON CITY BAKERY & CAFE","2367 MISSION St",94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,"4864_20161206","12/6/16",84,"4864_20161206_103157","Food safety certificate or food handler card not available","Low Risk"
3838,"CAFE PICARO","3120 16th St",94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,"3838_20180222","2/22/18",72,"3838_20180222_103142","Unclean nonfood contact surfaces","Low Risk"
64380,"Michael Mina Restaurant","252 California St",94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,"64380_20160414","4/14/16",86,"64380_20160414_103154","Unclean or degraded floors walls or ceilings","Low Risk"
1596,"BURGERMEISTER","86 Carl St",94117,37.765848,-122.449664,"(37.765848, -122.449664)",14155564433,"1596_20171201","12/1/17",96,"1596_20171201_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
69769,"Whole Foods Market","1150 Ocean Ave",94112,37.723652,-122.45461,"(37.723652, -122.45461)",14155337400,"69769_20180725","7/25/18",90,"69769_20180725_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
32586,"Terroir","81 Langton St",94103,37.776494,-122.408562,"(37.776494, -122.408562)",14155718949,"32586_20160906","9/6/16",96,"32586_20160906_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
60544,"Manzoni","2790 Diamond St",94131,37.73473,-122.433823,"(37.73473, -122.433823)",14155332251,"60544_20160929","9/29/16",92,"60544_20160929_103157","Food safety certificate or food handler card not available","Low Risk"
62578,"New Chef Hung's Restaurant","823 Clay St",94108,37.794193,-122.406677,"(37.794193, -122.406677)",14155396883,"62578_20171207","12/7/17",66,"62578_20171207_103145","Improper storage of equipment utensils or linens","Low Risk"
7689,"UNOCAL 76  PACIFIC ENTERPRISES","999 OCEAN Ave",94112,37.723133,-122.452707,"(37.723133, -122.452707)",14155588296,"7689_20160811","8/11/16",98,"7689_20160811_103148","No thermometers or uncalibrated thermometers","Low Risk"
5219,"SALVATION ARMY GATEWAY","407 09th St",94103,37.772473,-122.409879,"(37.772473, -122.409879)",14155256100,"5219_20180511","5/11/18",94,"5219_20180511_103139","Improper food storage","Low Risk"
59002,"Yummy Bakery & Restaurant","607 Jackson St",94133,37.796152,-122.405255,"(37.796152, -122.405255)",14155988388,"59002_20180515","5/15/18",92,"59002_20180515_103138","Improper storage use or identification of toxic substances","Low Risk"
62064,"California Grocery","123 Eddy St",94102,37.784303,-122.409647,"(37.784303, -122.409647)",14155448608,"62064_20160411","4/11/16",75,"62064_20160411_103150","Improper or defective plumbing","Low Risk"
69282,"New Jumbo Seafood Restaurant","1532 NORIEGA St",94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,"69282_20160413","4/13/16",76,"69282_20160413_103142","Unclean nonfood contact surfaces","Low Risk"
68773,"Nopalito","1224 9th Ave",94122,37.765412,-122.466375,"(37.765412, -122.466375)",14155430303,"68773_20180214","2/14/18",90,"68773_20180214_103139","Improper food storage","Low Risk"
4685,"NORMAN'S LIQUOR & DELI","733 Randolph St",94132,37.714204,-122.469193,"(37.714204, -122.469193)",14155580088,"4685_20161203","12/3/16",96,"4685_20161203_103156","Permit license or inspection report not posted","Low Risk"
64380,"Michael Mina Restaurant","252 California St",94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,"64380_20160414","4/14/16",86,"64380_20160414_103147","Inadequate ventilation or lighting","Low Risk"
3838,"CAFE PICARO","3120 16th St",94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,"3838_20180222","2/22/18",72,"3838_20180222_103144","Unapproved or unmaintained equipment or utensils","Low Risk"
4874,"JUMP START COFFEE & GROCERY","1192 GUERRERO St",94110,37.752118,-122.422914,"(37.752118, -122.422914)",14155647555,"4874_20160502","5/2/16",90,"4874_20160502_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk"
1641,"MARTHA & BROS. COFFEE CO","1551 Church St",94131,37.745974,-122.426856,"(37.745974, -122.426856)",14155641166,"1641_20160812","8/12/16",84,"1641_20160812_103145","Improper storage of equipment utensils or linens","Low Risk"
5033,"DESTINATION BAKING COMPANY","598 Chenery St",94131,37.734619,-122.432379,"(37.734619, -122.432379)",14155460730,"5033_20170104","1/4/17",86,"5033_20170104_103147","Inadequate ventilation or lighting","Low Risk"
5853,"RAOUL WALLENBERG HIGH SCHOOL","40 VEGA St",94115,37.780133,-122.445864,"(37.780133, -122.445864)",14155743469,"5853_20180227","2/27/18",94,"5853_20180227_103147","Inadequate ventilation or lighting","Low Risk"
19416,"Starbucks","865 Market St C26",94103,37.784317,-122.407563,"(37.784317, -122.407563)",14155604908,"19416_20180718","7/18/18",96,"19416_20180718_103154","Unclean or degraded floors walls or ceilings","Low Risk"
