"business_id","business_name","business_address","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","violation_id","violation_description","risk_category"
4787,"TONY BALONEY'S","1098 HOWARD St",94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,"4787_20160628","6/28/16",83,"4787_20160628_103131","Moderate risk vermin infestation","Moderate Risk"
33700,"Casa Guadalupe #3","2999 MISSION",94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,"33700_20160412","4/12/16",90,"33700_20160412_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk"
59838,"OTD","2232 Bush St",94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,"59838_20160531","5/31/16",92,"59838_20160531_103133","Foods not protected from contamination","Moderate Risk"
70685,"5 Degree Tea House","2527 SAN BRUNO Ave",94134,37.729753,-122.40447,"(37.729753, -122.40447)",14155828233,"70685_20171212","12/12/17",86,"70685_20171212_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk"
4907,"JIM GEORGIE'S DONUT","2799 16th St",94103,37.765262,-122.41523,"(37.765262, -122.41523)",14155867112,"4907_20170105","1/5/17",80,"4907_20170105_103131","Moderate risk vermin infestation","Moderate Risk"
69282,"New Jumbo Seafood Restaurant","1532 NORIEGA St",94122,37.754132,-122.480058,"(37.754132, -122.480058)",14155681800,"69282_20160413","4/13/16",76,"69282_20160413_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk"
3253,"S F GOLF CLUB","1310 Junipero Serra Blvd",94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100,"3253_20160413","4/13/16",88,"3253_20160413_103132","Improper thawing methods","Moderate Risk"
18826,"Fresca Restaurant","2114 FILLMORE St",94115,37.789074,-122.433783,"(37.789074, -122.433783)",14155442668,"18826_20160926","9/26/16",83,"18826_20160926_103119","Inadequate and inaccessible handwashing facilities","Moderate Risk"
69181,"Cha-Ya Restaurant","762 Valencia St",94110,37.760777,-122.421505,"(37.760777, -122.421505)",14155257825,"69181_20160330","3/30/16",92,"69181_20160330_103120","Moderate risk food holding temperature","Moderate Risk"
5913,"ST CHARLES SCHOOL","3250 18th St",94110,37.762074,-122.416107,"(37.762074, -122.416107)",14155867652,"5913_20160906","9/6/16",92,"5913_20160906_103131","Moderate risk vermin infestation","Moderate Risk"
13814,"Go Go Market & Deli","99 09th St",94103,37.774722,-122.406761,"(37.774722, -122.406761)",14155863536,"13814_20160930","9/30/16",82,"13814_20160930_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk"
2061,"ATAMI SUSHI BAR & GRILL","1662 LOMBARD St",94123,37.800788,-122.428894,"(37.800788, -122.428894)",14155611958,"2061_20180223","2/23/18",94,"2061_20180223_103133","Foods not protected from contamination","Moderate Risk"
63082,"The Brick Yard","1787 Union St",94123,37.797933,-122.428627,"(37.797933, -122.428627)",14156677676,"63082_20180222","2/22/18",87,"63082_20180222_103133","Foods not protected from contamination","Moderate Risk"
3253,"S F GOLF CLUB","1310 Junipero Serra Blvd",94132,37.711329,-122.471316,"(37.711329, -122.471316)",14155464100,"3253_20160413","4/13/16",88,"3253_20160413_103120","Moderate risk food holding temperature","Moderate Risk"
1005,"CHAVITA'S MEXICAN RESTAURANT","3006 MISSION St",94110,37.748855,-122.418134,"(37.748855, -122.418134)",14155286927,"1005_20160502","5/2/16",84,"1005_20160502_103131","Moderate risk vermin infestation","Moderate Risk"
64805,"Andersen Bread","1390 Market St Suite 110",94102,37.777053,-122.416939,"(37.777053, -122.416939)",14150427100,"64805_20170105","1/5/17",94,"64805_20170105_103120","Moderate risk food holding temperature","Moderate Risk"
999,"SERRANO'S PIZZA II","3274 21st St",94110,37.756997,-122.420534,"(37.756997, -122.420534)",14155691615,"999_20160503","5/3/16",81,"999_20160503_103133","Foods not protected from contamination","Moderate Risk"
4797,"Good Life Grocery, The","448 CORTLAND Ave",94110,37.739053,-122.416683,"(37.739053, -122.416683)",14155643221,"4797_20171130","11/30/17",86,"4797_20171130_103132","Improper thawing methods","Moderate Risk"
