"business_id","business_name","business_address","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","violation_id","violation_description","risk_category"
6348,"Castro Street Chevron","2399 Market St",94114,37.762857,-122.434755,"(37.762857, -122.434755)",14155622570,"6348_20151224","12/24/15",100,"","",""
4478,"AFC Sushi @ Safeway #1490","2300 16th St",94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155571120,"4478_20171206","12/6/17",100,"","",""
5829,"LAFAYETTE ELEMENTARY SCHOOL","4545 ANZA St",94121,37.777603,-122.49649,"(37.777603, -122.49649)",14155758483,"5829_20160412","4/12/16",100,"","",""
68944,"Peet's Coffee and Tea","1630 Holloway Ave",94132,37.720877,-122.477651,"(37.720877, -122.477651)",14155374525,"68944_20160509","5/9/16",100,"","",""
5813,"LICK MIDDLE SCHOOL","1220 Noe St",94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,"5813_20160502","5/2/16",100,"","",""
69259,"Goat Hill Pizza","170 WEST PORTAL Ave",94127,37.739154,-122.467794,"(37.739154, -122.467794)",14155641440,"69259_20180911","9/11/18",100,"","",""
4667,"EMPIRE THEATRE","085 WEST PORTAL Ave",94127,37.739883,-122.466749,"(37.739883, -122.466749)",14155664950,"4667_20171206","12/6/17",100,"","",""
67187,"Chipotle Mexican Grill #1560","333 Jefferson St #104",94133,37.807923,-122.417887,"(37.807923, -122.417887)",14155503533,"67187_20160413","4/13/16",100,"","",""
5893,"CLEVELAND ELEMENTARY SCHOOL","455 ATHENS St",94112,37.720765,-122.429004,"(37.720765, -122.429004)",14155464709,"5893_20160429","4/29/16",100,"","",""
5877,"CLAIRE LILIENTHAL SCHOOL-MADISON CA","3950 SACRAMENTO St",94118,37.786808,-122.458014,"(37.786808, -122.458014)",14155758603,"5877_20180228","2/28/18",100,"","",""
66411,"Del Popolo LLC","269 Chattanooga St",94114,37.752274,-122.426336,"(37.752274, -122.426336)",14154276600,"66411_20160607","6/7/16",100,"","",""
5830,"Theodore Roosevelt Middle School","460 Arguello Blvd",94118,37.782383,-122.458926,"(37.782383, -122.458926)",14155758446,"5830_20180226","2/26/18",100,"","",""
5907,"LILIENTHAL ELEMENTARY SCHOOL","3630 DIVISADERO St",94118,37.803537,-122.443547,"(37.803537, -122.443547)",14155743516,"5907_20171207","12/7/17",100,"","",""
5958,"ST. THOMAS THE APOSTLE","3801 BALBOA St",94121,37.775573,-122.499709,"(37.775573, -122.499709)",14155263257,"5958_20160321","3/21/16",100,"","",""
64351,"Fatted Calf SF","320 Fell St",94102,37.775918,-122.423134,"(37.775918, -122.423134)",14155405614,"64351_20180724","7/24/18",100,"","",""
7517,"Discount Grocers","1203 Polk St",94109,37.787924,-122.420164,"(37.787924, -122.420164)",14155927385,"7517_20171211","12/11/17",100,"","",""
5821,"MOSCONE ELEMENTARY SCHOOL","2576 HARRISON St",94110,37.756231,-122.412293,"(37.756231, -122.412293)",14155695736,"5821_20180227","2/27/18",100,"","",""
5867,"MALCOLM X ELEMENTARY SCHOOL","350 Harbor Rd",94124,37.733741,-122.380619,"(37.733741, -122.380619)",14155695950,"5867_20160323","3/23/16",100,"","",""
5867,"MALCOLM X ELEMENTARY SCHOOL","350 Harbor Rd",94124,37.733741,-122.380619,"(37.733741, -122.380619)",14155695950,"5867_20180223","2/23/18",100,"","",""
10030,"Marshall Elementary School","1575 15th St",94103,37.766864,-122.419014,"(37.766864, -122.419014)",14155246280,"10030_20180226","2/26/18",100,"","",""
4480,"STARBUCKS COFFEE #545","3995 24th St",94114,37.751413,-122.431629,"(37.751413, -122.431629)",14155821118,"4480_20161205","12/5/16",100,"","",""
5850,"Zaida T. Rodriguez (ZTR) Child Development Center","2950  Mission St",94110,37.749837,-122.418255,"(37.749837, -122.418255)",14155695844,"5850_20180223","2/23/18",100,"","",""
68257,"AFC SUSHI at Mollie Stone's #10","635 Portola Dr",94127,37.744876,-122.452425,"(37.744876, -122.452425)",14155661600,"68257_20180718","7/18/18",100,"","",""
5815,"ALVARADO ELEMENTARY SCHOOL","625  DOUGLASS St",94114,37.753684,-122.438696,"(37.753684, -122.438696)",14155695695,"5815_20180227","2/27/18",100,"","",""
5794,"LINCOLN HIGH SCHOOL","2162 24th Ave",94116,37.747228,-122.481299,"(37.747228, -122.481299)",14155752700,"5794_20171207","12/7/17",100,"","",""
5819,"MIRALOMA ELEMENTARY SCHOOL","175 OMAR Way",94127,37.739266,-122.450227,"(37.739266, -122.450227)",14155464734,"5819_20160315","3/15/16",100,"","",""
3838,"CAFE PICARO","3120 16th St",94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,"3838_20180223","2/23/18",72,"","",""
5851,"ROOFTOP SCHOOL","443 Burnett Ave",94131,37.754685,-122.443967,"(37.754685, -122.443967)",14155695692,"5851_20160309","3/9/16",94,"","",""
